isAlive, hasCollided, currentDirection, nextDirection, remainingPellets, score
true false EAST EAST 178 0
true false EAST NORTH 177 10
true false NORTH NORTH 176 20
true false NORTH SOUTH 175 30
true false SOUTH NORTH 175 30
true false NORTH NORTH 175 30
true false NORTH EAST 175 30
true false EAST WEST 174 40
true false WEST SOUTH 174 40
true false SOUTH WEST 174 40
true false WEST EAST 174 40
true false EAST SOUTH 174 40
true false SOUTH EAST 174 40
true false EAST SOUTH 173 50
true false SOUTH EAST 173 50
true false EAST WEST 172 60
true false WEST SOUTH 172 60
true false SOUTH NORTH 172 60
true false NORTH WEST 172 60
true false WEST WEST 172 60
true false WEST SOUTH 172 60
true false SOUTH NORTH 172 60
true false NORTH WEST 172 60
true false WEST SOUTH 171 70
true false SOUTH NORTH 171 70
true false NORTH WEST 170 80
true false WEST EAST 170 80
true false EAST NORTH 170 80
true false NORTH NORTH 169 90
true false NORTH NORTH 169 90
true false NORTH WEST 169 90
true false WEST EAST 168 100
true false EAST NORTH 168 100
true false NORTH WEST 168 100
true false WEST NORTH 168 100
true false NORTH WEST 168 100
true false WEST WEST 167 110
true false WEST NORTH 166 120
true false NORTH WEST 166 120
true false WEST EAST 166 120
true false EAST EAST 166 120
true false EAST NORTH 166 120
true false NORTH WEST 166 120
true false WEST SOUTH 166 120
true false SOUTH EAST 166 120
true false EAST WEST 166 120
true false WEST WEST 166 120
true false WEST SOUTH 166 120
true false SOUTH EAST 166 120
true false EAST NORTH 166 120
true false NORTH NORTH 166 120
true false NORTH EAST 166 120
true false EAST NORTH 166 120
true false NORTH NORTH 166 120
true false NORTH NORTH 166 120
true false NORTH WEST 166 120
true false WEST WEST 166 120
true false WEST WEST 166 120
true false WEST WEST 166 120
true false WEST SOUTH 166 120
true false SOUTH EAST 166 120
true false EAST NORTH 166 120
true false NORTH WEST 166 120
true false WEST SOUTH 166 120
true false SOUTH SOUTH 166 120
true false SOUTH WEST 166 120
true false WEST NORTH 165 130
true false NORTH SOUTH 165 130
true false SOUTH SOUTH 165 130
true false SOUTH EAST 165 130
true false EAST SOUTH 165 130
true false SOUTH EAST 165 130
true false EAST NORTH 165 130
true false NORTH NORTH 165 130
true false NORTH WEST 165 130
true false WEST NORTH 165 130
true false NORTH WEST 165 130
true false WEST NORTH 165 130
true false NORTH WEST 165 130
true false WEST SOUTH 165 130
true false SOUTH NORTH 165 130
true false NORTH EAST 165 130
true false EAST EAST 165 130
true false EAST WEST 165 130
true false WEST NORTH 165 130
true false NORTH SOUTH 165 130
true false SOUTH EAST 165 130
true false EAST NORTH 165 130
true false NORTH NORTH 165 130
true false NORTH SOUTH 165 130
true false SOUTH NORTH 165 130
true false NORTH WEST 165 130
true false WEST EAST 165 130
true false EAST EAST 165 130
true false EAST NORTH 165 130
true false NORTH NORTH 165 130
true false NORTH SOUTH 165 130
true false SOUTH WEST 165 130
true false WEST NORTH 165 130
true false NORTH SOUTH 165 130
true false SOUTH WEST 165 130
true false WEST EAST 165 130
true false EAST NORTH 165 130
true false NORTH EAST 165 130
true false EAST WEST 165 130
true false WEST WEST 165 130
true false WEST NORTH 165 130
true false NORTH EAST 165 130
true false EAST SOUTH 165 130
true false SOUTH NORTH 165 130
true false NORTH SOUTH 165 130
true false SOUTH SOUTH 165 130
true false SOUTH NORTH 165 130
true false NORTH NORTH 165 130
true false NORTH WEST 165 130
true false WEST SOUTH 165 130
true false SOUTH WEST 165 130
true false WEST SOUTH 165 130
true false SOUTH EAST 165 130
true false EAST NORTH 165 130
true false NORTH NORTH 165 130
true false NORTH SOUTH 165 130
true false SOUTH WEST 165 130
true false WEST SOUTH 165 130
true false SOUTH NORTH 165 130
true false NORTH SOUTH 165 130
true false SOUTH WEST 165 130
true false WEST EAST 165 130
true false EAST NORTH 165 130
true false NORTH NORTH 165 130
true false NORTH EAST 165 130
true false EAST NORTH 165 130
true false NORTH NORTH 165 130
true false NORTH NORTH 165 130
true false NORTH NORTH 165 130
true false NORTH EAST 165 130
true false EAST SOUTH 165 130
true false SOUTH WEST 165 130
true false WEST EAST 165 130
true false EAST NORTH 165 130
true false NORTH NORTH 165 130
true false NORTH NORTH 165 130
true false NORTH EAST 165 130
false true EAST EAST 165 130
